Instituição,Cidade,UF
SOCIEDADE MINEIRA DE CULTURA,BELO HORIZONTE,MG
COLÉGIO CHAMINADE,BAURU,SP
MIRA COMUNICAÇÃO,SÃO PAULO,SP
FAMINAS,BELO HORIZONTE,MG
CONTRUTORA COSTA FEITOSA,ARUJÁ,SP
ESCOLA EDUQUE,SÃO PAULO,SP
NEWTON,VOTORANTIM,SP
GRUPO EDUCACIONAL BOM JESUS,CURITIBA,PR
SENAI BAHIA,ILHÉUS,BA
UNIVERSIDADE VILA VELHA-UVV,VILA VELHA,ES
UNIVERSIDADE CATÓLICA DE PERNAMBUCO,RECIFE,PE
UNIVERSIDADE VEIGA DE ALMEIDA,RIO DE JANEIRO,RJ
COLÉGIO SANTO AMERICO,SÃO PAULO,SP
CEM,ARARUAMA,RJ
COLÉGIO DANTE ALIGHIERI,SÃO PAULO,SP
CNA,SÃO PAULO,SP
UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL,SÃO CAETANO DO SUL,SP
COLÉGIO CRIATIVO,FLORIANÓPOLIS,SC
TECHNE,SÃO BERNARDO DO CAMPO,SP
COLÉGIO SANTA CATARINA,SÃO PAULO,SP
COLÉGIO NOSSA SENHORA DAS NEVES,NATAL,RN
SAS,FORTALEZA,CE
COLÉGIO VISCONDE DE PORTO SEGURO,SÃO PAULO,SP
COLÉGIO SEPP,JACAREÍ,SP
BERNOULLI SISTEMA DE ENSINO,BELO HORIZONTE,MG
CENTRO UNIVERSITARIO ATENEU - UNIATENEU,FORTALEZA,CE
CENTRO EDUCACIONAL ALVES FARIA,GOIÂNIA,GO
MARISTA CENTRO-NORTE,,
COLÉGIO VISCONDE DE PORTO SEGURO,SÃO PAULO,SP
FUNDAÇÃO SALVADOR ARENA,SÃO BERNARDO DO CAMPO,SP
COLÉGIO VISCONDE DE PORTO SEGURO,SÃO PAULO,SP
COLÉGIO VISCONDE DE PORTO SEGURO,SÃO PAULO,SP
CENTRO UNIVERSITARIO ATENEU - UNIATENEU,FORTALEZA,CE
SENAI BAHIA,VITÓRIA DA CONQUISTA,BA
REDE ALIX,SÃO PAULO,SP
SINERGIA EDUCAÇÃO,RIO DE JANEIRO,RJ
CENTRO EDUCACIONAL ESTAÇÃO DO APRENDER,NITEROI,RJ
CONEXIA,RIBEIRÃO PRETO,SP
SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL,SALVADOR,BA
CENTRO UNIVERSITÁRIO SÃO CAMILO,SÃO PAULO,SP
COLÉGIO SANTO AGOSTINHO - BARRA,RIO DE JANEIRO,RJ
CAMARGO RODRIGUES ASSESSORIA EM COBRANÇAS,SÃO PAULO,SP
FAMINAS,BELO HORIZONTE,MG
UNIVERSIDADE DE SÃO FRANCISCO - USF,ITATIBA,SP
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,CURITIBA,PR
COLÉGIO MARISTA JOÃO PAULO II,BRASÍLIA,DF
GB PRINT REMARK,SÃO PAULO,SP
COLÉGIO MARIA ESTER,FORTALEZA,CE
COLÉGIO NOTRE DAME,SÃO PAULO,SP
UNIVERSIDADE VEIGA DE ALMEIDA,RIO DE JANEIRO,RJ
FTD EDUCAÇÃO,SÃO PAULO,SP
COLÉGIO NOSSA SENHORA DA PIEDADE,BELO HORIZONTE,MG
COLÉGIO INSTITUTO CRISTÃO,CASTRO,PR
ISAAC,CAMPINAS,SP
FMU - FACULDADES METROPOLITANAS UNIDAS,SÃO PAULO,SP
INSTITUTO DOM BARRETO,TERESINA,PI
REDE DAMAS,RECIFE,PE
CENTRO UNIVERSITÁRIO SENAI CIMATEC,SALVADOR,BA
CENTRO EUCACIONAL MARGARIDA,ARARUAMA,RJ
LOGICALIS,SÃO PAULO,SP
UNISAL - CENTRO UNIVERSITÁRIO SALESIANOS,PRAIA GRANDE,SP
COLÉGIO VISCONE DE PORTO SEGURO,SÃO PAULO,SP
SENAI,LAURO DE FREITAS,BA
ÂNIMA EDUCAÇÃO,SÃO PAULO,SP
UNIVERSIDADE METODISTA DE SÃO PAULO,SÃO PAULO,SP
UNIVERSIDADE PARANAENSE - UNIPAR,UMUARAMA,PR
COLÉGIO VISCONDE DE PORTO SEGURO,VALINHOS,SP
SENAI MG,BELO HORIZONTE,MG
"COLÉGIO SANTO AGOSTINHO, UNIDA",BELO HORIZONTE,MG
INSTITUTO PRESBITERIANO MACKENZIE,SÃO PAULO,SP
ESCOLA PRESBITERIANA MACKENZIE,SÃO PAULO,SP
CENTRO UNIVERSITÁRIO SÃO CAMILO,SÃO PAULO,SP
AUTÔNOMA,SÃO PAULO,SP
SENAC,JUNDIAÍ,SP
ESCOLA PROFISSIONALIZANTE SANT AGOSTINHO,BELO HORIZONTE,MG
FUNDAÇÃO DE ROTARIANOS DE SÃO PAULO,SÃO PAULO,SP
COLÉGIO RIACHUELO,SANTA MARIA,RS
ABIEE,CANOAS,RS
PRIMA,SÃO JOSÉ DOS CAMPOS,SP
SENAI,LAURO DE FREITAS,BA
COLÉGIO DIOCESANO DE CARUARU,CARUARU,PE
MAPFRE SEGUROS,SÃO PAULO,SP
COLEGIO NOSSA SENHORA DO CARMO,TERESÓPOLIS,RJ
COLÉGIO MARIA ESTER 1,FORTALEZA,CE
COLÉGIO VISCONDE DE PORTO SEGURO,SÃO PAULO,SP
COLÉGIO XIX DE MARÇO,ITAJUBÁ,MG
COLÉGIO SANTO ANTÔNIO DE JESUS,SANTO ANTÔNIO DE JESUS,BA
COLÉGIO FUNDAMENTAL LTDA,LAURO DE FREITAS,BA
COLÉGIO VISCONDE DE PORTO SEGURO,SÃO PAULO,SP
COLÉGIO VISCONDE DE PORTO SEGURO,SÃO PAULO,SP
USJ - SÃO JOSÉ SC,FLORIANÓPOLIS,SC
SESSI-DR/ES,VITÓRIA,ES
COLÉGIO VISCONDE DE PORTOS SEGURO,VALINHOS,SP
PROVA FÁCIL,BELO HORIZONTE,MG
MAPLE BEAR GOIÂNIA,GOIÂNIA,GO
CONSTRUTORA COSTA FEITOSA,ARUJÁ,SP
INATEL,SANTA RITA DO SAPUCAÍ,MG
COLÉGIO GENIUS,CAMPINAS,SP
ESCOLA PRESBITERIANA MACKENZIE,SÃO PAULO,SP
CAMINO EDUCATION,SÃO PAULO,SP
B&FUTURE,SOROCABA,SP
COLÉGIO FARROUPILHA,PORTO ALEGRE,RS
COLÉGIO BOM JESUS,CURITIBA,PR
CENTRO UNIVERSITÁRIO UNIHORIZONTES,BELO HORIZONTE,MG
ST NICHOLAS SCHOOL,SÃO PAULO,SP
COLÉGIO VISCONDE DE PORTO SEGURO,VALINHOS,SP
COLÉGIO MATER CHRISTI,CAXIAS DO SUL,RS
SIEEESP,S PAULO,SP
ESCOLA INFANTIL SÃO JOSÉ,GOIÂNIA,GO
INSTITUTO PRESBITERIANO MACKENZIE,PALMAS,TO
FACULDADE IDEALTRENDS,SÃO PAULO,SP
ACETAM ´ASSOCIAÇÃO DE CIÊNCIA EDUCAÇÃO E TECNOLOGIA DA AMAZÔNIA,MANAUS,AM
COLEGIO SEPP,JACAREÍ,SP
GRUPO IDEAL TRENDS,FARROUPILHA,RS
COLÉGIO PGD,LONDRINA,PR
ALABAMA CONSULTORIA EDUCACIONAL,GUARULHOS,SP
UNISA,SÃO PAULO,SP
SIC/COLÉGIO SANTO AGOSTINHO-BH,BELO HORIZONTE,MG
CONSULTORIA,SÃO JOSÉ DOS CAMPOS,SP
COLÉGIO VISCONDE DE PORTO SEGURO,SÃO PAULO,SP
UNIFEOB,SÃO JOÃO DA BOA VISTA,SP
COLÉGIO BOM JESUS,CURITIBA,PR
FUNDAÇÃO BRADESCO,SÃO PAULO,SP
BERNOULLI SISTEMA DE ENSINO,BELO HORIZONTE,MG
UNIJORGE,SALVADOR,BA
SAS,FORTALEZA,CE
UNIVERSIDADE SÃO JUDAS,TABOÃO DA SERRA,SP
ESCOLA BRASILEIRA DE EDUCAÇÃO,GUARULHOS,SP
COLÉGIO FARROUPILHA,PORTO ALEGRE,RS
COLÉGIO ROSÁRIO,CURITIBA,PR
TECHNE,SÃO PAULO,SP
MONICA MAZZO CONSULTORIA EDUCACIONAL,SALTO,SP
ESCOLA PROJETO VIDA,SÃO PAULO,SP
ASSOCIAÇÃO TERESINENSE DE ENSINO,TERESINA,PI
COLÉGIO ANTARES,FORTALEZA,CE
UNIVERSIDADE VEIGA DE ALMEIDA,RIO DE JANEIRO,RJ
ESCOLA SEB PORTUGAL,RIBEIRÃO PRETO,SP
COLÉGIO MARIA ESTER 1,FORTALEZA,CE
SARAIVA EDUCAÇÃO S/A,SÃO PAULO,SP
VG EDUCACIONAL,MARINGÁ,PR
RUBEUS,MURIAÉ,MG
UNESC - CENTRO UNIVERSITÁRIO DO ES,COLATINA,ES
UNIJORGE,SALVADOR,BA
COLÉGIO INSTITUTO CRISTÃO,CASTRO,PR
ACETAM ´ASSOCIAÇÃO DE CIÊNCIA EDUCAÇÃO E TECNOLOGIA DA AMAZÔNIA,MANAUS,AM
ACETAM,MANAUS,AM
COLÉGIO VISCONDE DE PORTO SEGURO,SÃO PAULO,SP
COLÉGIO SANTO ANTÔNIO,BELO HORIZONTE,MG
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,GOIÂNIA,GO
REDE DAMAS EDUCACIONAL,RECIFE,PE
COLÉGIO DIOCESANO DE CARUARU,CARUARU,PE
CENTRO EDUCACIONAL PAINEIRA,SANTO ANDRÉ,SP
REDE ADVENTISTA,CRUZEIRO,DF
FACULDADE IDEAL TRENDS,SÃO PAULO,SP
FACULDADES PEQUENO PRÍNCIPE,CURITIBA,PR
BERNOULLI SISTEMA DE ENSINO,BELO HORIZONTE,MG
COLÉGIO PLÍNIO LEITE,NITERÓI,RJ
COLÉGIO CHAMINADE,BAURU,SP
PLATOS EDUCACIONAL,SÃO PAULO,SP
PH3,PARNAMIRIM,RN
PUC CAMPINAS,CAMPINAS,SP
FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - UNIFEOB,SÃO JOÃO DA BOA VISTA,SP
TORRICELLI,GUARULHOS,SP
SEVEN IDIOMAS,SÃO PAULO,SP
EDUKON,FORTALEZA,CE
ESCOLA SEB DÍNATOS,BRASÍLIA,DF
UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UBERABA,MG
COLÉGIO SANTO AMERICO,SÃO PAULO,SP
YOU BILINGUAL EDUCATION,SÃO PAULO,SP
FASM - FACULDADE SANTA MARCELINA,SÃO PAULO,SP
ANHEMBI MORUMBI,SÃO PAULO,SP
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,CAMPINAS,SP
SENAI CIMATEC,SALVADOR,BA
COLÉGIO E CURSO FATOR,SÃO JOÃO DE MERITI,RJ
TOTVS SA,BELO HORIZONTE,MG
REVISTA DIRECIONAL ESCOLAS,SÃO PAULO,SP
CENTRO UNIVERSITARIO ATENEU - UNIATENEU,FORTALEZA,CE
VEREDA EDUCAÇÃO,SÃO PAULO,SP
ESCOLA PRESBITERIANA MACKENZIE,SÃO PAULO,SP
COLÉGIO FÊNIX,PARNAMIRIM,RN
FASEC,IGUATU,CE
AMAZON WEB SERVICES,FORTALEZA,CE
LOGICALIS,SÃO PAULO,SP
CENTRO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - CESB,BRASÍLIA,DF
FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - UNIFEOB,SÃO JOÃO DA BOA VISTA,SP
COLEGIO PORTO SEGURO,SÃO PAULO,SP
SINEP/MG,BELO HORIZONTE,MG
SIC  SOCIEDADE INTELIGÊNCIA E CORAÇÃO,BELO HORIZONTE,MG
INSTITUTO PRESBITERIANO MACKENZIE,SÃO PAULO,SP
CENTRO UNIVERSITARIO ATENEU - UNIATENEU,EUSÉBIO,CE
MRD CONSULTING,SÃO PAULO,SP
ESCOLA PRIMEIROS PASSOS,SÃO DOMINGOS DO MARANHÃO,MA
ESCOLA BEIT YAACOV,SÃO PAULO,SP
INSTITUTO PRESBITERIANO MACKENZIE,LAGO SUL,DF
UNIFACEMA,CAXIAS,MA
CENTRO UNIVERSITÁRIO DO RIO GRANDE DO NORTE,NATAL,RN
FUNDACRED,PORTO ALEGRE,RS
COLÉGIO CERTUS,SÃO PAULO,SP
CENTRO EDUCACIONAL HYARTE ML LTDA,PARACATU,MG
SEJUNTA TECNOLOGIA,SANTO ANDRÉ,SP
UNIALFA,GOIANIA,GO
ZILDA DE OLIVEIRA SOUSA,GUARULHOS,SP
ESCOLA DÍNAMIS,RIO DE JANEIRO,RJ
SINEPMG - SINDICATO DAS ESCOLAS PARTICULARES DE MINAS GERAIS,BELO HORIZONTE,MG